MasterID,ItemID,Yield,Replenishable,Remaining,WHLocation,Plant,StartingFT,Core,CRCITEMID,Complete,PO_Num,Date_Received,Date_Receiveing,LastInventoryCycle,LastInventoryRemaining,LastInventoryComplete,OLD_PO
"CFB 14.0# CAN 14 7/8                              ","2D2F27172Z             ",453," ",453,"          ","2 ",0,0,"00000000    ",0,"2-065186  ",2022-07-06 16:17:16.000,2023-01-02 16:09:44.000,2023-01-02 06:13:28.000,453,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G04032E             ",417," ",417,"          ","2 ",0,0,"00000000    ",0,"2-065252  ",2022-08-02 09:21:46.000,2023-01-02 16:06:57.000,2023-01-02 06:13:28.000,417,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G04032Z             ",418," ",418,"          ","2 ",0,0,"00000000    ",0,"2-065252  ",2022-08-02 09:21:49.000,2023-01-02 16:06:57.000,2023-01-02 06:13:28.000,418,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2G13053B             ",371," ",371,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-24 12:48:50.000,2023-01-02 16:10:37.000,2023-01-02 06:13:28.000,371,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2G16161F             ",362," ",362,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-24 12:48:20.000,2023-01-02 16:10:37.000,2023-01-02 06:13:28.000,362,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2G16161H             ",361," ",361,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-24 12:48:23.000,2023-01-02 16:10:37.000,2023-01-02 06:13:28.000,361,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2G16162F             ",365," ",365,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-24 12:48:43.000,2023-01-02 16:10:38.000,2023-01-02 06:13:28.000,365,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2G16162H             ",365," ",365,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-24 12:48:34.000,2023-01-02 16:10:38.000,2023-01-02 06:13:28.000,365,0,NULL
"CFB 14.0# WHT 9 1/2                               ","2D2G17032C             ",284," ",284,"          ","2 ",0,0,"00000000    ",0,"2-065207  ",2022-08-24 12:51:17.000,2023-01-02 16:10:43.000,2023-01-02 06:13:28.000,284,0,NULL
"CFB 14.0# WHT 9 1/2                               ","2D2G17032E             ",283," ",283,"          ","2 ",0,0,"00000000    ",0,"2-065207  ",2022-08-24 12:51:20.000,2023-01-02 16:10:43.000,2023-01-02 06:13:28.000,283,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2G17091F             ",362," ",362,"          ","2 ",0,0,"00000000    ",0,"2-065227  ",2022-08-24 15:44:33.000,2023-01-02 16:10:32.000,2023-01-02 06:13:28.000,362,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2G17091H             ",364," ",364,"          ","2 ",0,0,"00000000    ",0,"2-065227  ",2022-08-24 15:44:35.000,2023-01-02 16:10:32.000,2023-01-02 06:13:28.000,364,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2G17111D             ",367," ",323,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-24 12:45:57.000,2023-01-02 16:10:33.000,2023-01-02 06:13:28.000,323,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2G17112D             ",367," ",367,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-24 12:46:00.000,2023-01-02 16:10:33.000,2023-01-02 06:13:28.000,367,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2G17112E             ",362," ",362,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-24 12:46:06.000,2023-01-02 16:10:33.000,2023-01-02 06:13:28.000,362,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19011G             ",415," ",415,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 12:55:06.000,2023-01-02 16:06:58.000,2023-01-02 06:13:28.000,415,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19083C             ",418," ",418,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 12:58:21.000,2023-01-02 16:06:58.000,2023-01-02 06:13:28.000,418,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19083E             ",415," ",415,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 13:00:35.000,2023-01-02 16:06:59.000,2023-01-02 06:13:28.000,415,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19083G             ",413," ",415,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 13:01:06.000,2023-01-02 16:06:59.000,2023-01-02 06:13:28.000,415,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19083J             ",413," ",413,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 13:31:29.000,2023-01-02 16:06:59.000,2023-01-02 06:13:28.000,413,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19083Z             ",420," ",420,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 13:02:02.000,2023-01-02 16:07:00.000,2023-01-02 06:13:28.000,420,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19091A             ",428," ",428,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 13:02:25.000,2023-01-02 16:07:00.000,2023-01-02 06:13:28.000,428,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19091C             ",422," ",422,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 13:02:43.000,2023-01-02 16:07:00.000,2023-01-02 06:13:28.000,422,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19092H             ",412," ",412,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 13:03:08.000,2023-01-02 16:07:04.000,2023-01-02 06:13:28.000,412,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19111B             ",421," ",421,"          ","2 ",0,0,"00000000    ",0,"2-065227  ",2022-08-09 13:07:03.000,2023-01-02 16:07:04.000,2023-01-02 06:13:28.000,421,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19111D             ",414," ",414,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 13:03:50.000,2023-01-02 16:07:04.000,2023-01-02 06:13:28.000,414,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19111E             ",415," ",415,"          ","2 ",0,0,"00000000    ",0,"2-065227  ",2022-08-09 13:07:38.000,2023-01-02 16:07:05.000,2023-01-02 06:13:28.000,415,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19111F             ",411," ",411,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 13:04:13.000,2023-01-02 16:07:05.000,2023-01-02 06:13:28.000,411,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19111G             ",414," ",414,"          ","2 ",0,0,"00000000    ",0,"2-065227  ",2022-08-09 13:07:53.000,2023-01-02 16:07:05.000,2023-01-02 06:13:28.000,414,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19111H             ",411," ",411,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 13:04:35.000,2023-01-02 16:07:06.000,2023-01-02 06:13:28.000,411,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19111J             ",413," ",413,"          ","2 ",0,0,"00000000    ",0,"2-065227  ",2022-08-09 13:08:05.000,2023-01-02 16:07:06.000,2023-01-02 06:13:28.000,413,0,NULL
"CB 16# WHT 12 1/4                                 ","2D2G19111K             ",413," ",413,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-09 13:04:51.000,2023-01-02 16:06:57.000,2023-01-02 06:13:28.000,413,0,NULL
"CB 16# WHT 14 7/8                                 ","2D2G19263G             ",505," ",505,"          ","2 ",0,0,"00000000    ",0,"2-065318  ",2022-08-24 12:43:23.000,2023-01-02 16:07:11.000,2023-01-02 06:13:28.000,505,0,NULL
"CFB 14.0# CAN 9 1/2                               ","2D2G30282G             ",289," ",289,"          ","2 ",0,0,"00000000    ",0,"2-065207  ",2022-08-10 09:19:25.000,2023-01-02 16:09:50.000,2023-01-02 06:13:28.000,289,0,NULL
"CFB 14.0# CAN 9 1/2                               ","2D2G30282Z             ",291," ",291,"          ","2 ",0,0,"00000000    ",0,"2-065207  ",2022-08-10 09:19:21.000,2023-01-02 16:09:50.000,2023-01-02 06:13:28.000,291,0,NULL
"CFB 14.0# CAN 11 5/8                              ","2D2G31161B             ",350," ",174,"          ","2 ",0,0,"00000000    ",0,"2-065186  ",2022-08-10 09:16:54.000,2023-01-02 16:09:36.000,2023-01-02 06:13:28.000,306,0,NULL
"CFB 14.0# CAN 11 5/8                              ","2D2G31162B             ",350," ",0,"          ","2 ",0,0,"00000000    ",1,"2-065186  ",2022-08-10 09:16:51.000,2023-01-02 16:09:36.000,2023-01-02 06:13:28.000,124,0,NULL
"CFB 14.0# PNK 9 1/2                               ","2D2H04162Z             ",423," ",423,"          ","2 ",0,0,"00000000    ",0,"2-065374  ",2022-08-17 10:16:09.000,2023-01-02 16:10:28.000,2023-01-02 06:13:28.000,423,0,NULL
"CFB 14.0# CAN 9 1/2                               ","2D2H06421A             ",429," ",429,"          ","2 ",0,0,"00000000    ",0,"2-065374  ",2022-08-17 10:14:07.000,2023-01-02 16:09:51.000,2023-01-02 06:13:28.000,429,0,NULL
"CFB 14.0# CAN 9 1/2                               ","2D2H06421Z             ",433," ",433,"          ","2 ",0,0,"00000000    ",0,"2-065374  ",2022-08-17 10:14:05.000,2023-01-02 16:09:52.000,2023-01-02 06:13:28.000,433,0,NULL
"CFB 14.0# CAN 15 1/2                              ","2D2H06431C             ",462," ",462,"          ","2 ",0,0,"00000000    ",0,"2-065186  ",2022-08-17 10:41:40.000,2023-01-02 16:09:47.000,2023-01-02 06:13:28.000,462,0,NULL
"CFB 14.0# CAN 15 1/2                              ","2D2H06432C             ",461," ",461,"          ","2 ",0,0,"00000000    ",0,"2-065168  ",2022-08-17 10:52:51.000,2023-01-02 16:09:47.000,2023-01-02 06:13:28.000,461,0,NULL
"CFB 14.0# CAN 15 1/2                              ","2D2H06433C             ",462," ",462,"          ","2 ",0,0,"00000000    ",0,"2-065168  ",2022-08-17 10:52:48.000,2023-01-02 16:09:48.000,2023-01-02 06:13:28.000,462,0,NULL
"CFB 14.0# CAN 15 1/2                              ","2D2H07102C             ",461," ",461,"          ","2 ",0,0,"00000000    ",0,"2-065168  ",2022-08-17 10:52:53.000,2023-01-02 16:09:48.000,2023-01-02 06:13:28.000,461,0,NULL
"CFB 14.0# CAN 12 1/4                              ","2D2H07131A             ",380," ",380,"          ","2 ",0,0,"00000000    ",0,"2-065168  ",2022-09-12 10:14:01.000,2023-01-02 16:09:40.000,2023-01-02 06:13:28.000,380,0,NULL
"CFB 14.0# CAN 12 1/4                              ","2D2H07143C             ",372," ",372,"          ","2 ",0,0,"00000000    ",0,"2-065168  ",2022-09-12 10:14:20.000,2023-01-02 16:09:41.000,2023-01-02 06:13:28.000,372,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2H16221B             ",361," ",361,"          ","2 ",0,0,"00000000    ",0,"2-065227  ",2022-08-24 15:44:40.000,2023-01-02 16:10:34.000,2023-01-02 06:13:28.000,361,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2H16222B             ",361," ",361,"          ","2 ",0,0,"00000000    ",0,"2-065216  ",2022-08-24 12:40:07.000,2023-01-02 16:10:34.000,2023-01-02 06:13:28.000,361,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2H17031B             ",370," ",370,"          ","2 ",0,0,"00000000    ",0,"2-065216  ",2022-08-24 12:40:13.000,2023-01-02 16:10:34.000,2023-01-02 06:13:28.000,370,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2H17032B             ",370," ",370,"          ","2 ",0,0,"00000000    ",0,"2-065227  ",2022-08-24 15:44:44.000,2023-01-02 16:10:35.000,2023-01-02 06:13:28.000,370,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2H17033B             ",366," ",366,"          ","2 ",0,0,"00000000    ",0,"2-065216  ",2022-08-24 12:40:04.000,2023-01-02 16:10:35.000,2023-01-02 06:13:28.000,366,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2H17282B             ",371," ",371,"          ","2 ",0,0,"00000000    ",0,"2-065373  ",2022-09-12 12:43:11.000,2023-01-02 16:10:35.000,2023-01-02 06:13:28.000,371,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2H17291F             ",363," ",363,"          ","2 ",0,0,"00000000    ",0,"2-065373  ",2022-09-12 12:43:33.000,2023-01-02 16:10:36.000,2023-01-02 06:13:28.000,363,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2H17332B             ",366," ",366,"          ","2 ",0,0,"00000000    ",0,"2-065373  ",2022-09-12 12:44:04.000,2023-01-02 16:10:36.000,2023-01-02 06:13:28.000,366,0,NULL
"CFB 14.0# WHT 12 1/4                              ","2D2H18044A             ",369," ",369,"          ","2 ",0,0,"00000000    ",0,"2-065373  ",2022-09-12 12:44:27.000,2023-01-02 16:10:36.000,2023-01-02 06:13:28.000,369,0,NULL
"CFB 14.0# CAN 9 1/2                               ","2D2H19283A             ",296," ",0,"          ","2 ",0,0,"00000000    ",1,"2-065373  ",2022-09-12 07:36:29.000,2023-01-02 16:09:51.000,2023-01-02 06:13:28.000,93,0,NULL
"CFB 14.0# CAN 9 1/2                               ","2D2H19283C             ",286," ",0,"          ","2 ",0,0,"00000000    ",1,"2-065373  ",2022-09-12 07:36:26.000,2023-01-02 16:09:51.000,2023-01-02 06:13:28.000,79,0,NULL
"CFB 14.0# CAN 9 7/8                               ","2D2H25151Z             ",289," ",289,"          ","2 ",0,0,"00000000    ",0,"2-065288  ",2022-09-12 10:11:42.000,2023-01-02 16:09:54.000,2023-01-02 06:13:28.000,289,0,NULL
