Description,CRCItemID,ERMaterials,LeadTime,PartsPerUnit,CostPerFactor,DLCostPerFactor,EstimatePerFactor,UseBy,OrderBY,PressFactor,CollatorFactor,OfflineFactor,ProdType,ItemType,ReportType,Color,Size,SubWT,ReOrderPoint,Cycle,PVGLCode,PRGLCode,ReqReport,Vendor_ItemID,Vendor_qty,DateLastPriceChange,LastPriceChangePO,Valueation,New_Item_Type,Old_Item_Type,BidID,CostingLink,Inventoryable
"5 WHT NORBRITE GW 9 1/4                           ","            ",T,1,0.0346,0.437,0.00,0.437,"LB        ","LB        ",0,0,0,"ROLL  ",ELEOFF,"BOND      ","WHT ","9 1/4     ","45        ",0," ","40200-3-30          ","40200-1-30          ",T,NULL,NULL,NULL,NULL,NULL,ELEOFF,"EOFF      ",NULL,NULL,1
"50# OFFSET 17 1/2                                 ","            ",T,0,1,0.95,0.00,0.95,"LB        ","LB        ",0,0,0,"ROLL  ","BND   ","          ","WHT ","17 1/2    ","20        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"50# OFFSET WHT 17 1/2                             ","            ",T,0,1,0.95,0.00,0.95,"LB        ","LB        ",0,0,0,"ROLL  ","BND   ","          ","WHT ","17 1/2    ","20        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"50# WHT OFFSET 14                                 ","            ",T,0,1,0.44,0.00,0.44,"LB        ","LB        ",0,0,0,"ROLL  ","BND   ","BOND      ","WHT ","14        ","20        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"60# BLU SPRGHILL OFFSET 17-1/2                    ","            ",T,1,1,0.865,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","BLU ","17 1/2    ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"10002188    ",598,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"60# MAR GRN ASTROBRT 8 1/2 X 11 SHEETS            ","            ",F,1,1,0.55,0.00,0.00,"M         ","M         ",0,0,0,"SHT   ","BOND  ","BOND      ","GRN ","8 1/2     ","60        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"60# PINK GLATFELTER 17-1/2                        ","            ",T,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","PNK ","17 1/2    ","60        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"60# PINK WAUSAU 17-1/2                            ","            ",T,0,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","PNK ","17 1/2    ","60        ",-1," ","                    ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"60# SB OPAQUE SMOOTH WH 17-1/2                    ","            ",T,1,1,0.55,0.00,0.55,"LB        ","LB        ",0,0,0,"ROLL  ","BCAP  ","BOND      ","WHT ","17 1/2    ","24        ",-1," ","                    ","40200-1-30          ",F,"            ",170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"60# SMOOTH OFFSET GH 40%RC 17-1/2                 ","            ",F,1,1,0.645,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ",NULL,"WHT ","17 1/2    ","60        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"60# SMOOTH OFFSET GRAY HARBOR 40%RC               ","            ",F,1,1,0.645,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","60        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"60# SPRINGHILL IVR 17-1/2                         ","            ",T,1,1,5.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","ELEC      ","IVR ","17 1/2    ","60        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"60# WAUSAU OFFSET GRAY 17-1/2                     ","            ",T,1,1,0.904,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","60        ",-1," ","                    ","40200-1-30          ",T,"            ",536,2012-07-06 09:59:08.630,"2-052031  ",NULL,NULL,NULL,NULL,NULL,1
"60# WHT 40% RECYCLE 17-1/2                        ","            ",T,1,1,0.55,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","60        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"65# mOHAWK cHAMPAGNE 11 X 8-1/2 SHEETS            ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","CHP ","11        ","65        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"67# IVORY VELLUM BRIST 17                         ","10442525    ",F,1,1,0.706,0.00,0.706,"PG        ","PG        ",0,0,0,"SHT   ","BOND  ","BOND      ","IVR ","17        ","67        ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"67# IVORY VELLUM BRIST 17-1/2                     ","            ",F,1,1,0.706,0.00,0.00,"PG        ","PG        ",0,0,0,"ROLL  ","TEXT  ","BOND      ","IVR ","17 1/2    ","67        ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"67# WHT VELLUM BRIST 17-1/2                       ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","67        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"70# GLOSS TXT C2S 17-1/2                          ","            ",F,1,1,0.55,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","17 1/2    ","70        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"70# Ivory Wausau 8 1/2                            ","            ",F,1,1,0.55,0.00,0.00,"EA        ","EA        ",0,0,0,"SHT   ","BOND  ","BOND      ","IVR ","8 1/2     ","70        ",-1," ","                    ","40200-1-30          ",T,"            ",673,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"70# WHT ACCENT OPAQUE 18                          ","            ",T,1,1,0.679,0.00,0.679,"LB        ","LB        ",0,0,0,"ROLL  ","OPQ   ","ELEC      ","WHT ","18        ","70        ",-1," ","40200-2-30          ","40200-1-30          ",T,"188310      ",750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"75# CLASSIC LAID NATURAL WHT 10                   ","            ",T,1,1,0.483,0.00,4830.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","10        ","75        ",0," ","40200-1-30          ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"8 1/2x11 19.54M 67# CAN OPQ BRISTOL 81044         ","            ",T,0,1,0.0334,0.00,0.0334,"SH        ","SH        ",0,0,0,"SHT   ","BOND  ","BOND      ","CAN ","UNIT      ","67        ",-1," ","40200-2-30          ","40200-1-30          ",T,"10442583    ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"8 1/2x14 15.03M 60# WHT OPQ OFF 512040            ","            ",T,0,1,73.62,0.00,0.0184,"SH        ","CS        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","UNIT      ","60        ",-1," ","40200-2-30          ","40200-1-30          ",T,"10432399    ",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"8 1/2x14 15.27M 24# WHT 85781                     ","            ",T,0,1,102.00,0.00,0.0204,"SH        ","CS        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","UNIT      ","24        ",-1," ","40200-2-30          ","40200-1-30          ",T,"10448045    ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"80#  FINCH MAILSTREAMTEXT BRIGHT WHITE 19 3/4     ","            ",T,1,1,0.75,0.00,0.75,"LB        ","LB        ",0,0,0,"ROLL  ","TEXT  ","ELEC      ","WHT ","19 3/4    ","80        ",-1," ","40200-3-30          ","40200-1-30          ",F,"11527       ",1047,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"80# WHT ACCENT OPAQUE 18                          ","            ",T,1,1,0.679,0.00,0.679,"LB        ","LB        ",0,0,0,"ROLL  ","OPQ   ","ELEC      ","WHT ","18        ","80        ",-1," ","40200-2-30          ","40200-1-30          ",T,"188451      ",750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"80# WHT Del Mar Gloss Text 17 1/2                 ","            ",T,0,1,0.4845,0.00,0.4885,"LB        ","LB        ",0,0,0,"ROLL  ","TEXT  ","BOND      ","WHT ","17 1/2    ","80        ",-1," ","40200-2-30          ","40200-1-30          ",T,"10061711    ",919,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"80# WHT DEL MAR GLOSS TEXT 8 3/4                  ","            ",T,1,1,0.4885,0.00,0.4885,"LB        ","LB        ",0,0,0,"ROLL  ","TEXT  ","BOND      ","WHT ","8 3/4     ","80        ",-1," ","40100-2-30          ","40100-1-30          ",T,"222632      ",930,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"80# XP96 BRIGHT WHITE 19 3/4                      ","            ",T,1,1,0.64,0.00,0.64,"LB        ","LB        ",0,0,0,"ROLL  ","TEXT  ","ELEC      ","WHT ","19 3/4    ","80        ",-1," ","40200-3-30          ","40200-1-30          ",F,"11527       ",1047,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"9 PT PIXELLE ENHANSED HB                          ","            ",T,1,1,0.685,0.00,0.685,"LB        ","LB        ",0,0,0,"ROLL  ",ELEOFF,"ELEC      ","WHT ","18        ","100       ",-1," ","40200-3-30          ","40200-1-30          ",F,"            ",1025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"9.5 PT DIRECT THEMAL 300HD 7                      ","            ",F,1,1,1.58,0.00,1.58,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","7         ","110       ",-1," ","40200-2-30          ","                    ",F,"19256       ",300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"9.5 PT Direct Thermal 300HD 11                    ","            ",F,0,1,1.58,0.00,1.58,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","11        ","110       ",-1," ","40200-2-30          ","40200-1-30          ",T,"19256       ",2592,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"9.5 PT Direct Thermal 300HD 5.75                  ","            ",F,1,1,1.58,0.00,1.58,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","5 3/4     ","135       ",-1," ","40200-2-30          ","40200-1-30          ",F,"19256       ",218,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"90#  WHT SAFETY TAG  11                           ","            ",F,1,1,1.025,0.00,1.015,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","11        ","90        ",-1," ","40200-3-30          ","40200-1-30          ",F,"            ",420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"90# BLU DOMTAR 11 X 17 PARENT SH                  ","            ",F,1,1,0.317,0.00,0.317,"EA        ","EA        ",0,0,0,"SHT   ","SPC   ","BOND      ","BLU ","22 1/2    ","90        ",-1," ","40100-2-30          ","                    ",F,"            ",1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"90# BLU DOMTAR 22 1/2 x 35 PARENT                 ","            ",F,0,1,0.255,0.00,0.317,"EA        ","EA        ",0,0,0,"SHT   ","IDX   ","BOND      ","BLU ","22 1/2    ","90        ",-1," ","40200-2-30          ","40200-1-30          ",T,"10442494    ",500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"90# FLAMBEAU WHT 19INCH                           ","            ",T,1,1,0.5478,0.00,0.5478,"LB        ","LB        ",0,0,0,"ROLL  ","ELEC  ","ELEC      ","WHT ","19        ","90        ",-1," ","40200-3-30          ","                    ",F,"            ",1222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"90# INDEX SPRINGHILL 18                           ","            ",T,1,0.017,0.86,0.00,0.5705,"LB        ","LB        ",0,0,0,"ROLL  ",ELEIDX,"ELEC      ","WHT ","18        ","90        ",-1," ","40200-3-30          ","40200-1-30          ",T,"            ",1000,2013-02-12 14:22:21.470,"2-052181  ",NULL,NULL,NULL,NULL,NULL,0
"90# INDEX WHT 13 1/2 FLAMBEAU                     ","            ",T,1,1,0.639,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","IDX   ","ELEC      ","WHT ","13 1/2    ","90        ",-1," ","40200-3-30          ","40200-1-30          ",F,"4802.55     ",823,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"90# INDEX WHT 13 1/2 FLAMDEAU                     ","            ",T,1,1,0.639,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","IDX   ","ELEC      ","WHT ","13 1/2    ","90        ",-1," ","40200-3-30          ","40200-1-30          ",F,"4802.55     ",743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"90# INDEX WHT 131/2 FLAMDEAU                      ","            ",T,1,1,0.639,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","IDX   ","ELEC      ","WHT ","13 1/2    ","90        ",-1," ","40200-3-30          ","40200-1-30          ",F,"4802.55     ",863,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"90# safety tag wht 11                             ","            ",F,1,1,1.025,0.00,1.015,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","11        ","90        ",-1," ","40200-3-30          ","40200-1-30          ",F,"55653       ",430,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"90# WHITE SAFETY TAG 16                           ","            ",T,6,1,1.185,0.00,1.185,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","16        ","90        ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",627,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"90# WHITE SAFETY TAG 18                           ","            ",T,1,1,1.10,0.00,1.10,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","18        ","90        ",-1," ","40200-2-30          ","40200-1-30          ",F,"            ",740,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"90# WHT 13 1/2 FLAMDEAU                           ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","TEXT  ","BOND      ","WHT ","13 1/2    ","90        ",-1," ","40200-2-30          ","40200-1-30          ",F,"21527       ",100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"90# WHT SAFETY TAG 11                             ","            ",F,1,1,1.185,0.00,1.185,"LB        ","LB        ",0,0,0,"ROLL  ","TAG   ","BOND      ","WHT ","11        ","90        ",-1," ","40200-3-30          ","40200-1-30          ",F,"            ",435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"90# YLW INDEX 8-1/2                               ","            ",F,1,1,0.50,0.00,0.00,"M         ","M         ",0,0,0,"SHT   ","BOND  ","BOND      ","CAN ","8 1/2     ","90        ",-1," ","                    ","40200-1-30          ",F,"            ",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"903522                                            ","            ",F,1,1,0.00,0.00,0.00,"EA        ","EA        ",0,0,0,"SHT   ","BOND  ","BOND      ","WHT ","17        ","24        ",-1," ","                    ","                    ",T,NULL,NULL,NULL,NULL,NULL,"BOND  ","BOND      ",NULL,NULL,0
"96 BRIGHT STARBRITE OPAQUE DIGITAL 12 X 18        ","            ",F,0,1,34.05,0.00,34.05,"CS        ","CS        ",0,0,0,"SHT   ","ELEC  ",NULL,"WHT ","18        ","18        ",-1," ","40600-3-30          ","                    ",T,"            ",1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"APPVION RESISTE 800-5.3 WHT 11 1/2                ","            ",F,1,1,2.5676,0.00,2.5676,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","ELEC      ","WHT ","11 1/2    ","          ",-1," ","40200-3-30          ","                    ",F,"            ",341,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"APPVION RESISTE 800-5.3 WHT 17                    ","            ",T,0,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","ELEC      ","WHT ","17        ","30        ",-1," ","40200-2-30          ","                    ",T,"            ",519,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"APPVION RESISTE 800-5.3 WHT 17 1/2                ","            ",F,1,1,2.5676,0.00,2.5676,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","ELEC      ","WHT ","17 1/2    ","          ",-1," ","40200-3-30          ","                    ",F,"            ",1071,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"APPVION RESISTE 800-5.3 WHT 17 1/2 3"" CORE        ","            ",F,1,1,2.5676,0.00,2.5676,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","ELEC      ","WHT ","17 1/2    ","          ",-1," ","40200-3-30          ","                    ",F,"            ",1071,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"BLK CART                                          ","            ",T,1,1,40.00,0.00,40.00,"EA        ","EA        ",0,0,0,"CART  ","CART  ","CART      ",UNIT,"UNIT      ","UNIT      ",-1," ","40100-2-30          ","40200-1-30          ",F,"CART        ",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
"BLOWN ON STICKER                                  ","            ",F,1,1,0.0015,0.00,0.00,"EA        ","EA        ",0,0,0,"BX    ","BX    ",NULL,"WHT ","0         ","12        ",-1," ","40200-2-30          ","40200-1-30          ",F,"QQQQQ       ",1200,NULL,NULL,NULL,"BX    ","BX        ",NULL,NULL,0
"BOND 11.5# GRD 12 1/2                             ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BND   ","BOND      ","GRD ","12 1/2    ","11.5      ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 11.5# PNK 12 1/2                             ","            ",F,1,1,0.00,0.00,0.00,"LB        ","LB        ",0,0,0,"ROLL  ","BND   ","BOND      ","PNK ","12 1/2    ","12        ",-1," ","40200-2-30          ","40200-1-30          ",T,"            ",0,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 11.5# WHT 12 1/2                             ","8222018001  ",T,1,0.0111,0.74,0.00,0.74,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","WHT ","12 1/2    ","11.5      ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# BLU 10                                   ","8222010041  ",T,1,0.0092,0.9575,0.00,0.845,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","BLU ","10        ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",368,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# BLU 12 1/2                               ","8222010071  ",T,1,0.0092,0.945,0.00,0.9588,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","BLU ","12 1/2    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",460,2013-08-23 14:33:34.903,"2-052401  ",NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# BLU 19 3/4                               ","8222010081  ",T,1,0.0092,0.94,0.00,0.7425,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","BLU ","19 3/4    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",800,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# BUF 12 1/2                               ","8222010091  ",T,1,0.0092,0.9575,0.00,0.865,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","BUF ","12 1/2    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",460,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# BUF 19                                   ","8222010101  ",T,1,0.0092,0.94,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","BUF ","19        ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# CAN 10                                   ","8222010271  ",T,1,0.0092,0.9075,0.00,0.9075,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","CAN ","10        ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"166548      ",0,2013-08-29 15:37:21.893,"2-052449  ",NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# CAN 11 5/8                               ","8222010281  ",T,1,0.0092,0.945,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","CAN ","11 5/8    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# CAN 12 1/2                               ","8222010301  ",T,1,0.0092,1.00,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","CAN ","12 1/2    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",415,2013-04-23 10:20:01.070,"2-052279  ",NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# CAN 12 1/4                               ","8222010291  ",T,1,0.0092,0.765,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","CAN ","12 1/4    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# CAN 15 1/2                               ","8222010321  ",T,1,0.0092,0.945,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","CAN ","15 1/2    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# CAN 19                                   ","8222010331  ",T,1,0.0092,0.94,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","CAN ","19        ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# CAN 9 1/2                                ","8222010251  ",T,1,0.0092,0.9575,0.00,0.7725,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","CAN ","9 1/2     ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# GRD 10                                   ","8222010391  ",T,1,0.0092,0.9575,0.00,0.7425,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","GRD ","10        ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",95,2011-12-02 08:14:08.817,"2-051740  ",NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# GRD 11 5/8                               ","8222010401  ",T,1,0.0092,0.945,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","GRD ","11 5/8    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# GRD 12 1/2                               ","8222010421  ",T,1,0.0092,0.945,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","GRD ","12 1/2    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",454,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# GRD 15 1/2                               ","8222010431  ",T,1,0.0092,0.945,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","GRD ","15 1/2    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# GRN 10                                   ","8222010501  ",T,1,0.0092,0.9575,0.00,0.7725,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","GRN ","10        ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",332,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# GRN 12 1/2                               ","8222010531  ",T,1,0.0092,0.945,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","GRN ","12 1/2    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",454,2012-11-08 10:30:20.743,"          ",NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# GRN 15 1/2                               ","            ",T,1,0.0092,0.945,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","GRN ","15 1/2    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",218,2012-12-29 14:38:00.197,"2-051288  ",NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# PNK 10                                   ","8222010611  ",T,1,0.0092,0.9575,0.00,0.735,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","PNK ","10        ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,2012-01-23 10:11:59.320,"2-051451  ",NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# PNK 11 5/8                               ","8222010621  ",T,1,0.0092,0.945,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","PNK ","11 5/8    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# PNK 12 1/2                               ","8222010641  ",T,1,0.0092,0.945,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","PNK ","12 1/2    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"166597      ",450,2013-06-12 09:25:32.783,"2-052351  ",NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# PNK 15 1/2                               ","8222010661  ",T,1,0.0092,0.945,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","PNK ","15 1/2    ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# PNK 19                                   ","8222010671  ",T,1,0.0092,0.94,0.00,0.765,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","PNK ","19        ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
"BOND 12# PNK 9 1/2                                ","8222010591  ",T,1,0.0092,0.9575,0.00,0.7725,"LB        ","LB        ",0,0,0,"ROLL  ","BOND  ","BOND      ","PNK ","9 1/2     ","12        ",0," ","40200-2-30          ","40200-1-30          ",T,"            ",1,NULL,NULL,NULL,"BND   ","BOND      ",NULL,NULL,1
